Sample,gene,RNA,CpG
GSM2159837_GSM2186676,UBC,14.4066191657094,0.40518159414726934
GSM2159838_GSM2186677,UBC,13.9971348997038,0.41153641155959914
GSM2159839_GSM2186678,UBC,14.3556027172938,0.43431585258059896
GSM2159840_GSM2186679,UBC,14.507272786986,0.39987570899114505
GSM2159841_GSM2186680,UBC,14.5404968301615,0.4515565375496927
GSM2159842_GSM2186681,UBC,14.4574557119001,0.48303581319469957
GSM2159843_GSM2186682,UBC,14.4729371467608,0.4631563815569159
GSM2159844_GSM2186683,UBC,14.5852790385448,0.46279045154667053
GSM2159845_GSM2186684,UBC,14.6558166907015,0.45249030472723484
GSM2159846_GSM2186685,UBC,14.6633761310051,0.4657230126657859
GSM2159847_GSM2186686,UBC,14.6118027088473,0.4353800342256515
GSM2159848_GSM2186687,UBC,14.7151381222019,0.44488715597209
GSM2159849_GSM2186688,UBC,14.6180537104515,0.4564839026513936
GSM2159850_GSM2186689,UBC,14.480736935545,0.4293977255942476
GSM2159851_GSM2186690,UBC,14.6215853424009,0.45872598511371565
GSM2159852_GSM2186691,UBC,14.5896960306208,0.45669613731980624
GSM2159853_GSM2186692,UBC,14.5531059114823,0.4310540023696309
GSM2159854_GSM2186693,UBC,14.5806759022417,0.4156819901079988
GSM2159855_GSM2186694,UBC,14.5933493816464,0.4026463634855867
GSM2159856_GSM2186695,UBC,14.7290783579899,0.4013703176872314
GSM2159857_GSM2186696,UBC,14.694768533079,0.40914130463373655
GSM2159858_GSM2186697,UBC,14.4852443320406,0.37877665155617996
GSM2159859_GSM2186698,UBC,14.7164981466031,0.4182202949501615
GSM2159860_GSM2186699,UBC,14.6415795921259,0.3954037734453018
GSM2159861_GSM2186700,UBC,14.7463781180973,0.4264967400245581
GSM2159862_GSM2186701,UBC,14.7522634112883,0.4066553750548858
GSM2159863_GSM2186702,UBC,14.7104176399449,0.45798813302290586
GSM2159864_GSM2186703,UBC,14.6989358368787,0.4371978430858675
GSM2159865_GSM2186704,UBC,14.6945183866134,0.46145141512361787
GSM2159866_GSM2186705,UBC,14.7290783579899,0.4088278572610881
GSM2159867_GSM2186706,UBC,14.6656582617033,0.403516544255067
GSM2159868_GSM2186707,UBC,14.5180232257663,0.39072136470005253
GSM2159869_GSM2186708,UBC,14.5677722160477,0.4142620383319376
GSM2159870_GSM2186709,UBC,14.583932303818,0.40017463831508865
GSM2159871_GSM2186710,UBC,14.4924231959528,0.43336466484500147
GSM2159872_GSM2186711,UBC,14.6174060771723,0.38103752681942904
GSM2159873_GSM2186712,UBC,11.6778555472064,0.44818983215540054
GSM2159874_GSM2186713,UBC,14.5793457001621,0.4201003593551867
GSM2159875_GSM2186714,UBC,14.5689579310171,0.39129274873376857
GSM2159876_GSM2186715,UBC,14.2956349826097,0.4108271574836092
GSM2159877_GSM2186716,UBC,14.7192757851587,0.4070718637980452
GSM2159878_GSM2186717,UBC,14.6789246750851,0.4648807059853635
GSM2159879_GSM2186718,UBC,14.6967399537738,0.40779087026664623
GSM2159880_GSM2186719,UBC,14.7374078603269,0.42340270409764513
GSM2159881_GSM2186720,UBC,14.6880395701519,0.430965490639075
GSM2159882_GSM2186721,UBC,14.7428940659374,0.4642899954107201
GSM2159883_GSM2186722,UBC,14.7574682951801,0.45144303329458585
