Sample,gene,RNA,CpG
GSM2159829_GSM2186668,IL4,5.18111324376767,0.858723624495328
GSM2159830_GSM2186669,IL4,5.16617266660575,0.87981743333029
GSM2159831_GSM2186670,IL4,6.0038431402383,0.85500647217502
GSM2159832_GSM2186671,IL4,5.13787264997908,0.861880634628971
GSM2159833_GSM2186672,IL4,4.99612277245647,0.898178476682992
GSM2159834_GSM2186673,IL4,6.4264488533353,0.868561540866609
GSM2159835_GSM2186674,IL4,5.14923741827189,0.864268783064231
GSM2159836_GSM2186675,IL4,5.64142900714171,0.869074013953358
GSM2159837_GSM2186676,IL4,5.09717767303615,0.884775182315131
GSM2159838_GSM2186677,IL4,5.51967142774014,0.896218974144954
GSM2159839_GSM2186678,IL4,5.06202713505353,0.894805629046884
GSM2159840_GSM2186679,IL4,4.91604694428367,0.874081118385121
GSM2159841_GSM2186680,IL4,5.73043055923702,0.846088693134382
GSM2159842_GSM2186681,IL4,5.70944790421604,0.901450533219043
GSM2159843_GSM2186682,IL4,5.61820833372832,0.836862736209869
GSM2159844_GSM2186683,IL4,5.24298434430879,0.823719915724889
GSM2159845_GSM2186684,IL4,4.88310010407049,0.861839707037185
GSM2159846_GSM2186685,IL4,5.62812661238568,0.840340416351348
GSM2159847_GSM2186686,IL4,6.15411625098259,0.885839902372474
GSM2159848_GSM2186687,IL4,4.58574916398993,0.848615599495428
GSM2159849_GSM2186688,IL4,5.05666735610752,0.868377341839253
GSM2159850_GSM2186689,IL4,5.01293730284007,0.88237061011485
GSM2159851_GSM2186690,IL4,5.2890791500123,0.876885971481863
GSM2159852_GSM2186691,IL4,5.548719840528,0.877675601062725
GSM2159853_GSM2186692,IL4,5.09923758581263,0.870492320381794
GSM2159854_GSM2186693,IL4,4.57472356951283,0.888593059262423
GSM2159855_GSM2186694,IL4,4.47821389131786,0.885135749766709
GSM2159856_GSM2186695,IL4,4.85818431890027,0.889891446418042
GSM2159857_GSM2186696,IL4,4.65432627403137,0.907224763413915
GSM2159858_GSM2186697,IL4,4.55796851750007,0.924251303645898
GSM2159859_GSM2186698,IL4,4.62395474676653,0.907198463872202
GSM2159860_GSM2186699,IL4,4.53838892357798,0.889518455102723
GSM2159861_GSM2186700,IL4,4.70016966672053,0.879993543863974
GSM2159862_GSM2186701,IL4,4.58532723624523,0.911329844788605
GSM2159863_GSM2186702,IL4,4.57076905377182,0.886576082141624
GSM2159864_GSM2186703,IL4,4.56205961174808,0.912006122943409
